Description_ID,Unstructured_Description,color_extracted,brand_extracted,size_extracted,top1_sku,top1_conf,top2_sku,top2_conf,top3_sku,top3_conf,match_reason
DESC0001,Do you carry Style Pants for Fall 2025?,,style,,SKU1000425,0.7945468231225079,SKU1000445,0.7539754334098148,SKU1000325,0.7478330360565719,brand match: style; text similarity: 0.795
DESC0002,"Looking for Green Boots, size L.",green,,l,SKU1000660,0.6786660748920842,SKU1000491,0.20202222355040667,SKU1000367,0.18800368641080117,color match: green; size match: l; text similarity: 0.679
DESC0003,"Searching for the Modern blazer finished in dark grey, XXL size.",gray,modern,xxl,SKU1000255,0.35873935602425544,,,,,color match: gray; brand match: modern; size match: xxl; text similarity: 0.359
DESC0004,"Need blue sundress that is breathable and flexible for Fall 2024, size M.",blue,,m,SKU1000563,0.6995661778865463,SKU1000504,0.2873275944554933,SKU1000323,0.27184608129889376,color match: blue; size match: m; text similarity: 0.700
DESC0005,"Looking for Beige Gown, size L.",beige,,l,SKU1000559,0.6415805441089777,SKU1000094,0.2004759271671208,SKU1000794,0.1863495360904241,color match: beige; size match: l; text similarity: 0.642
DESC0006,Do you have any footwear options suitable for Fall 2025?,,,,SKU1000738,0.31600524067425073,SKU1000702,0.31600524067425073,SKU1000668,0.3159103326460858,text similarity: 0.316
DESC0007,"Looking for naavy Santals by lite, size L please.",navy,elite,l,SKU1000697,0.0,,,,,color match: navy; brand match: elite; size match: l; text similarity: 0.000
DESC0008,Need Essetnial's burundy Boluse sz XS asap.,burgundy,essential,xs,SKU1000595,0.21491387691034555,SKU1000395,0.21197729969573323,SKU1000610,0.20792197764679807,color match: burgundy; brand match: essential; size match: xs; text similarity: 0.215
DESC0009,"White Polo from Alpine, size M",white,alpine,m,SKU1000182,0.8275183752052243,,,,,color match: white; brand match: alpine; size match: m; text similarity: 0.828
DESC0010,"After Black option in XS, preferably Coat.",black,,xs,SKU1000091,0.6685824360615662,SKU1000540,0.27351759668870035,SKU1000612,0.2734306529035592,color match: black; size match: xs; text similarity: 0.669
DESC0011,"Good afternoon, do you happen to have the olive gown from Urban in size XS? Thanks in advance!",olive,urban,xs,SKU1000553,0.8595731245042051,SKU1000438,0.4727448633666642,SKU1000263,0.4666308269203038,color match: olive; brand match: urban; size match: xs; text similarity: 0.860
DESC0012,Do you stock Nordic's sleeveless layer in that maroon? I need XS.,burgundy,nordic,xs,SKU1000285,0.5263177263861945,SKU1000011,0.485912368882089,,,color match: burgundy; brand match: nordic; size match: xs; text similarity: 0.526
DESC0013,Do you stock Elite's pumps in that olive tone? I need XL.,olive,elite,xl,SKU1000796,0.5950399276406171,SKU1000567,0.5764069484346953,SKU1000659,0.5763007730598362,color match: olive; brand match: elite; size match: xl; text similarity: 0.595
DESC0014,Looking for brown outerwear for Fall 2025.,brown,,,SKU1000078,0.4229271337573138,SKU1000000,0.3998706599439169,SKU1000436,0.327984688652866,color match: brown; text similarity: 0.423
DESC0015,Nordic Vest in Green size M,green,nordic,m,SKU1000023,0.8664451953589314,SKU1000766,0.3999021551785914,,,color match: green; brand match: nordic; size match: m; text similarity: 0.866
DESC0016,"Looking for Charcoal Parka, size XL.",charcoal,,xl,SKU1000004,0.6506363804237616,SKU1000547,0.27336612814306266,SKU1000261,0.2544825605097381,color match: charcoal; size match: xl; text similarity: 0.651
DESC0017,Comfort Coat in Beige size XXL,beige,comfort,xxl,SKU1000109,0.8478828430768518,SKU1000755,0.47099892606909655,,,color match: beige; brand match: comfort; size match: xxl; text similarity: 0.848
DESC0018,Do you stock Urban's vest in that deep navy? I need XL.,navy,urban,xl,SKU1000131,0.8339349530660893,SKU1000280,0.4772611117174406,SKU1000326,0.44718162411248025,color match: navy; brand match: urban; size match: xl; text similarity: 0.834
DESC0019,"Searching for the Premium ankle boots finished in ecru, XXL size.",,premium,xxl,SKU1000740,0.8453598408701066,SKU1000295,0.4062692429175716,SKU1000545,0.3978456539231963,brand match: premium; size match: xxl; text similarity: 0.845
DESC0020,"Hello, I'm checking if you carry the charcoal turtleneck from Comfort in size XL? Appreciate your help.",charcoal,comfort,xl,SKU1000261,0.876010191268091,SKU1000547,0.49393040661463017,,,color match: charcoal; brand match: comfort; size match: xl; text similarity: 0.876
DESC0021,Looking for Style Heels White S,white,style,s,SKU1000684,0.8198885830353124,SKU1000477,0.3950191209465922,,,color match: white; brand match: style; size match: s; text similarity: 0.820
DESC0022,"Looking for biege Parrka by Elife, size S please.",beige,elite,s,SKU1000040,0.0,,,,,color match: beige; brand match: elite; size match: s; text similarity: 0.000
DESC0023,"Tan Parka from Premium, size XXL",tan,premium,xxl,SKU1000142,0.8251471706004065,SKU1000415,0.45486830893535707,,,color match: tan; brand match: premium; size match: xxl; text similarity: 0.825
DESC0024,Do you stock Classic's lightweight dress in that navy blue? I need S.,navy,classic,s,SKU1000530,0.4014589181669679,SKU1000647,0.37560439091711584,,,color match: navy; brand match: classic; size match: s; text similarity: 0.401
DESC0025,"Need size XXL Vest this season, any brand works.",,,xxl,SKU1000149,0.6869396890968258,SKU1000017,0.6867513606192377,SKU1000047,0.6657048479469634,size match: xxl; text similarity: 0.687
DESC0026,"Need black sneakers that are well-ventilated and sweat-wicking for Fall 2024, size XL.",black,,xl,SKU1000676,0.7032225706507349,SKU1000686,0.5643319348781749,SKU1000511,0.32037389511356973,color match: black; size match: xl; text similarity: 0.703
DESC0027,"Hi there, could you help me find the olive sandals from Nordic in size M? Thanks in advance!",olive,nordic,m,SKU1000777,0.820558202767472,SKU1000071,0.41299351298579445,,,color match: olive; brand match: nordic; size match: m; text similarity: 0.821
DESC0028,"Do you have the Norddic Turleneck in burguundy, size XS?",burgundy,nordic,xs,SKU1000285,0.21449052135155725,SKU1000011,0.1980241061769097,,,color match: burgundy; brand match: nordic; size match: xs; text similarity: 0.214
DESC0029,"Do you have the Clssic Patns in chaarcoal, size XL?",charcoal,classic,xl,SKU1000320,0.20861843744596065,SKU1000680,0.20046861847172381,,,color match: charcoal; brand match: classic; size match: xl; text similarity: 0.209
DESC0030,"Want sundress with moisture-wicking performance, red in XS for Spring 2025.",red,,xs,SKU1000521,0.6991208685991175,SKU1000638,0.5353602374931716,SKU1000100,0.31547984679568675,color match: red; size match: xs; text similarity: 0.699
DESC0031,Need Alpine Parka Gray size L,gray,alpine,l,SKU1000046,0.8369319135682114,SKU1000177,0.37523966092275984,,,color match: gray; brand match: alpine; size match: l; text similarity: 0.837
DESC0032,Looking for Urban Turtleneck Brown XL,brown,urban,xl,SKU1000189,0.8499475697302211,SKU1000578,0.49393040661463017,SKU1000321,0.439596189139811,color match: brown; brand match: urban; size match: xl; text similarity: 0.850
DESC0033,Do you stock Urban's jeans in that midnight blue? I need M.,navy,urban,m,SKU1000471,0.6645687224757704,,,,,color match: navy; brand match: urban; size match: m; text similarity: 0.665
DESC0034,"I want Comfort's midnight blue dress in XXL, please.",navy,comfort,xxl,SKU1000558,0.6626476980728522,SKU1000525,0.6397099948330275,,,color match: navy; brand match: comfort; size match: xxl; text similarity: 0.663
DESC0035,"Good afternoon, I'm checking if you carry the olive cardigan from Modern in size XS? Let me know what's possible.",olive,modern,xs,SKU1000098,0.7984236356141263,,,,,color match: olive; brand match: modern; size match: xs; text similarity: 0.798
DESC0036,"Searching for versatile footwear, preferably L.",,,l,SKU1000787,0.21034133159155055,SKU1000675,0.21025655719745348,SKU1000661,0.21025655719745345,size match: l; text similarity: 0.210
DESC0037,"Looking for Green Pants, size XXL.",green,,xxl,SKU1000460,0.6785484125661125,SKU1000446,0.26561257868454846,SKU1000580,0.26466433963219466,color match: green; size match: xxl; text similarity: 0.679
DESC0038,Urban Gown in Gray size XS,gray,urban,xs,SKU1000496,0.8595731245042051,SKU1000726,0.4814322900446315,,,color match: gray; brand match: urban; size match: xs; text similarity: 0.860
DESC0039,"Need something leather in a dresses style, S size.",,style,s,SKU1000256,0.34297634668997196,SKU1000168,0.31864031018166755,SKU1000399,0.31854978585472987,brand match: style; size match: s; text similarity: 0.343
DESC0040,"Hello, I'm checking if you carry the green coat from Classic in size M? Thanks so much!",green,classic,m,SKU1000079,0.8512881627286631,,,,,color match: green; brand match: classic; size match: m; text similarity: 0.851
DESC0041,"Need something denim in a bottoms style, L size.",,style,l,SKU1000534,0.5240121641898488,SKU1000293,0.4716980639426297,SKU1000454,0.4261062411938558,brand match: style; size match: l; text similarity: 0.524
DESC0042,"Hi, I'm checking if you carry the brown leggings from Urban in size XXL? Thanks in advance!",brown,urban,xxl,SKU1000339,0.8301284080720585,,,,,color match: brown; brand match: urban; size match: xxl; text similarity: 0.830
DESC0043,Need Premiuum's redd Boluse sz S asap.,red,premium,s,SKU1000592,0.0,SKU1000179,0.0,,,color match: red; brand match: premium; size match: s; text similarity: 0.000
DESC0044,"Searching for the Nordic day dress finished in olive tone, L size.",olive,nordic,l,SKU1000636,0.7756304760378139,,,,,color match: olive; brand match: nordic; size match: l; text similarity: 0.776
DESC0045,Looking for the sage open-toe shoes from Essential in L.,,essential,l,SKU1000509,0.560814371828628,SKU1000491,0.5605628773505185,SKU1000559,0.5402603812564613,brand match: essential; size match: l; text similarity: 0.561
DESC0046,Do you stock Style's polo shirt in that navy blue? I need M.,navy,style,m,SKU1000176,0.6820250845216588,SKU1000550,0.3292689021873801,,,color match: navy; brand match: style; size match: m; text similarity: 0.682
DESC0047,"I want Urban's sage green bermuda shorts in XS, please.",olive,urban,xs,SKU1000438,0.6879122368921649,SKU1000553,0.34709349513575904,SKU1000263,0.3094892416936171,color match: olive; brand match: urban; size match: xs; text similarity: 0.688
DESC0048,Need Comfort Loafers Tan size M,tan,comfort,m,SKU1000678,0.8758179349561839,,,,,color match: tan; brand match: comfort; size match: m; text similarity: 0.876
DESC0049,"Need navy dress that is stretchy for Winter 2025, size XS.",navy,,xs,SKU1000492,0.7022904561137271,SKU1000549,0.6435555927447598,SKU1000543,0.5490956119841178,color match: navy; size match: xs; text similarity: 0.702
DESC0050,"White Heels from Essential, size M",white,essential,m,SKU1000654,0.8459980023273916,,,,,color match: white; brand match: essential; size match: m; text similarity: 0.846
DESC0051,"Good afternoon, could you help me find the gray blazer from Essential in size XL? Thanks in advance!",gray,essential,xl,SKU1000141,0.8306688764061458,SKU1000617,0.4615267353002225,,,color match: gray; brand match: essential; size match: xl; text similarity: 0.831
DESC0052,Need Classic Sundress Red size XS,red,classic,xs,SKU1000638,0.8429591900521209,SKU1000100,0.46517877388415957,SKU1000171,0.4452109333025585,color match: red; brand match: classic; size match: xs; text similarity: 0.843
DESC0053,"I want Alpine's sage sandals in XL, please.",,alpine,xl,SKU1000687,0.8315386346365313,SKU1000625,0.40551417798786876,SKU1000730,0.3856026757828775,brand match: alpine; size match: xl; text similarity: 0.832
DESC0054,"Need brown boots that are stretchy for Spring 2025, size XL.",brown,,xl,SKU1000700,0.7294708505105838,SKU1000590,0.3047673996021443,SKU1000189,0.29026479865523624,color match: brown; size match: xl; text similarity: 0.729
DESC0055,Alpine Skirt in Blue size S,blue,alpine,s,SKU1000327,0.804352346594217,SKU1000716,0.42776204914368804,,,color match: blue; brand match: alpine; size match: s; text similarity: 0.804
DESC0056,"Looking for blak Shirth by Esesntial, size S please.",black,essential,s,SKU1000743,0.0,SKU1000172,0.0,SKU1000167,0.0,color match: black; brand match: essential; size match: s; text similarity: 0.000
DESC0057,Do you carry Urban Sneakers for Spring 2025?,,urban,,SKU1000706,0.8517089257643948,SKU1000731,0.7729964533263722,SKU1000726,0.748079456962,brand match: urban; text similarity: 0.852
DESC0058,Need Nordic Heels Beige size S,beige,nordic,s,SKU1000799,0.8337593276097608,,,,,color match: beige; brand match: nordic; size match: s; text similarity: 0.834
DESC0059,"Hey team, do you happen to have the burgundy dress from Style in size XXL? Appreciate your help.",burgundy,style,xxl,SKU1000552,0.8588440601091033,,,,,color match: burgundy; brand match: style; size match: xxl; text similarity: 0.859
DESC0060,Alpine Jeans in Tan size S,tan,alpine,s,SKU1000351,0.8758179349561839,SKU1000733,0.42144711432749077,,,color match: tan; brand match: alpine; size match: s; text similarity: 0.876
DESC0061,"Want sneakers with thermal performance, red in XXL for Winter 2025.",red,,xxl,SKU1000711,0.6854975553845901,SKU1000588,0.3326516488718643,SKU1000064,0.3018271744097315,color match: red; size match: xxl; text similarity: 0.685
DESC0062,"Good afternoon, do you happen to have the tan t-shirt from Nordic in size L? Appreciate your help.",tan,nordic,l,SKU1000169,0.7723880926220967,,,,,color match: tan; brand match: nordic; size match: l; text similarity: 0.772
DESC0063,"After Brown option in XS, preferably Sundress.",brown,,xs,SKU1000566,0.6247178511307003,SKU1000398,0.262564363810594,,,color match: brown; size match: xs; text similarity: 0.625
DESC0064,Need Style Parka Gray size S,gray,style,s,SKU1000010,0.880925572239564,,,,,color match: gray; brand match: style; size match: s; text similarity: 0.881
DESC0065,"Searching for versatile outerwear, preferably S.",,,s,SKU1000025,0.20659252054989952,SKU1000151,0.20659252054989952,SKU1000128,0.20651219681488614,size match: s; text similarity: 0.207
DESC0066,Need Urban Gown Black size XL,black,urban,xl,SKU1000511,0.8302487672206041,SKU1000382,0.47236792439490893,,,color match: black; brand match: urban; size match: xl; text similarity: 0.830
DESC0067,"Want cream option in outerwear, open to suggestions.",cream,,,SKU1000152,0.3456533788734496,SKU1000089,0.3442060460315486,SKU1000113,0.3415741619618101,color match: cream; text similarity: 0.346
DESC0068,"Do you have the Alpien Turtleneckx in grmy, size L?",,alpine,l,SKU1000752,0.0,SKU1000569,0.0,SKU1000524,0.0,brand match: alpine; size match: l; text similarity: 0.000
DESC0069,Looking for the crimson slip-ons from Urban in XS.,red,urban,xs,SKU1000793,0.537444411311411,SKU1000430,0.5118585491892551,,,color match: red; brand match: urban; size match: xs; text similarity: 0.537
DESC0070,Do you have any outerwear options suitable for Winter 2025?,,,,SKU1000128,0.3103776516009971,SKU1000068,0.31028772289805134,SKU1000138,0.3031267721957007,text similarity: 0.310
DESC0071,Do you stock Comfort's turtleneck in that cedar brown? I need XL.,brown,comfort,xl,SKU1000213,0.876010191268091,,,,,color match: brown; brand match: comfort; size match: xl; text similarity: 0.876
DESC0072,"Beige Sandals from Classic, size XL",beige,classic,xl,SKU1000732,0.8292380013401695,SKU1000328,0.4776567738995227,SKU1000063,0.4695501744602637,color match: beige; brand match: classic; size match: xl; text similarity: 0.829
DESC0073,"Looking for high-stretch olive t-shirt in L, ideally cashmere.",olive,,l,SKU1000241,0.6987887611169586,SKU1000419,0.28659239075984144,SKU1000636,0.215632512457256,color match: olive; size match: l; text similarity: 0.699
DESC0074,Need Modern Jeans Green size XXL,green,modern,xxl,SKU1000446,0.8713868328730843,SKU1000154,0.4599070969866223,SKU1000765,0.4420497672591904,color match: green; brand match: modern; size match: xxl; text similarity: 0.871
DESC0075,"Hi, I'm checking if you carry the red sneakers from Style in size S? Thanks in advance!",red,style,s,SKU1000691,0.8335323821744196,SKU1000735,0.42156543777343014,,,color match: red; brand match: style; size match: s; text similarity: 0.834
DESC0076,"I want Classic's dark grey denim pants in L, please.",gray,classic,l,SKU1000380,0.6882873369484797,,,,,color match: gray; brand match: classic; size match: l; text similarity: 0.688
DESC0077,Classic Jacket in Burgundy size L,burgundy,classic,l,SKU1000030,0.8516955229971277,SKU1000485,0.4138582230853247,SKU1000210,0.4000668444466285,color match: burgundy; brand match: classic; size match: l; text similarity: 0.852
DESC0078,"Searching for versatile tops, preferably M.",,,m,SKU1000175,0.2176741904340009,SKU1000268,0.21389904406070828,SKU1000271,0.21389904406070825,size match: m; text similarity: 0.218
DESC0079,"Searching for the Modern pumps finished in khaki, XS size.",,modern,xs,SKU1000292,0.5664983148170707,SKU1000488,0.5459378180405492,SKU1000544,0.545567443191079,brand match: modern; size match: xs; text similarity: 0.566
DESC0080,Looking for the dark black skirt from Classic in XL.,black,classic,xl,SKU1000332,0.8304282676392969,SKU1000629,0.5018640864549097,,,color match: black; brand match: classic; size match: xl; text similarity: 0.830
DESC0081,"After Brown option in XL, preferably Polo.",brown,,xl,SKU1000212,0.7112735084439467,SKU1000578,0.27336612814306266,SKU1000449,0.25986111314948857,color match: brown; size match: xl; text similarity: 0.711
DESC0082,Do you stock Style's skirt in that off-white? I need S.,white,style,s,SKU1000477,0.7933395796015336,SKU1000684,0.4082383832499892,,,color match: white; brand match: style; size match: s; text similarity: 0.793
DESC0083,"Need something wool in a tops style, S size.",,style,s,SKU1000256,0.4503515444047365,SKU1000477,0.4491101753874558,SKU1000168,0.4183966538358197,brand match: style; size match: s; text similarity: 0.450
DESC0084,"Good afternoon, could you help me find the red boots from Comfort in size XS? Appreciate your help.",red,comfort,xs,SKU1000725,0.8714002553341957,SKU1000770,0.8571497309236343,,,color match: red; brand match: comfort; size match: xs; text similarity: 0.871
DESC0085,Style Jeans in Brown size M,brown,style,m,SKU1000436,0.8755548945298264,,,,,color match: brown; brand match: style; size match: m; text similarity: 0.876
DESC0086,"Do you have the Prrmium T-Shirrt in urgundy, size XS?",burgundy,premium,xs,SKU1000319,0.21186164746535824,,,,,color match: burgundy; brand match: premium; size match: xs; text similarity: 0.212
DESC0087,Do you carry Essential Skirt for Fall 2025?,,essential,,SKU1000367,0.8517089257643948,SKU1000609,0.3941867767048737,SKU1000078,0.39404401861432486,brand match: essential; text similarity: 0.852
DESC0088,Need Nordic Cardigan Burgundy size L,burgundy,nordic,l,SKU1000026,0.8800140852094909,,,,,color match: burgundy; brand match: nordic; size match: l; text similarity: 0.880
DESC0089,"Hey team, I'm checking if you carry the gray cardigan from Nordic in size S? Let me know what's possible.",gray,nordic,s,SKU1000044,0.8797591102625231,SKU1000178,0.42056126493418466,,,color match: gray; brand match: nordic; size match: s; text similarity: 0.880
DESC0090,"Hello, could you help me find the cream shirt from Style in size S? Thanks so much!",cream,style,s,SKU1000256,0.8619972261347622,SKU1000469,0.44396290250378256,,,color match: cream; brand match: style; size match: s; text similarity: 0.862
DESC0091,"Hello, I'm hoping to order the cream skirt from Urban in size XXL? Let me know what's possible.",cream,urban,xxl,SKU1000467,0.8444052327379442,,,,,color match: cream; brand match: urban; size match: xxl; text similarity: 0.844
DESC0092,Looking for Urban Jacket Gray L,gray,urban,l,SKU1000006,0.7977083921677003,SKU1000742,0.40776255364147207,,,color match: gray; brand match: urban; size match: l; text similarity: 0.798
DESC0093,"After Black option in XXL, preferably Shorts.",black,,xxl,SKU1000373,0.6651135736308812,SKU1000500,0.2683848171409819,SKU1000795,0.2645692210213507,color match: black; size match: xxl; text similarity: 0.665
DESC0094,Elite Shorts in Burgundy size XXL,burgundy,elite,xxl,SKU1000473,0.8713868328730844,,,,,color match: burgundy; brand match: elite; size match: xxl; text similarity: 0.871
DESC0095,Nordic Sundress in Burgundy size S,burgundy,nordic,s,SKU1000593,0.8449354862290468,SKU1000484,0.4419685838936762,,,color match: burgundy; brand match: nordic; size match: s; text similarity: 0.845
DESC0096,"Do you have the Elste Ylazer in nayv, size XL?",,elite,xl,SKU1000796,0.21951966089549924,SKU1000061,0.21585576608245402,SKU1000567,0.21264565952726294,brand match: elite; size match: xl; text similarity: 0.220
DESC0097,"Need size XL Shorts this season, any brand works.",,,xl,SKU1000328,0.671020648683905,SKU1000378,0.671020648683905,SKU1000363,0.6592715086679102,size match: xl; text similarity: 0.671
DESC0098,Do you stock Premium's sleeveless layer in that slate? I need L.,,premium,l,SKU1000238,0.5499993982456698,SKU1000145,0.5218130674104903,SKU1000443,0.5135096471042618,brand match: premium; size match: l; text similarity: 0.550
DESC0099,"Searching for the Nordic athletic shoes finished in noir, XXL size.",,nordic,xxl,SKU1000336,0.5375331406243845,SKU1000648,0.5281212810268889,SKU1000017,0.5262630710293104,brand match: nordic; size match: xxl; text similarity: 0.538
DESC0100,"Searching for the Alpine silky top finished in maroon, XL size.",burgundy,alpine,xl,SKU1000383,0.5046854800510708,SKU1000203,0.4831891437738274,,,color match: burgundy; brand match: alpine; size match: xl; text similarity: 0.505
DESC0101,"Do you have the Apline Jeaans in blcak, size S?",black,alpine,s,SKU1000376,0.0,,,,,color match: black; brand match: alpine; size match: s; text similarity: 0.000
DESC0102,"Need black t-shirt that is quick-drying and sweat-wicking for Summer 2025, size M.",black,,m,SKU1000265,0.6607463674628308,SKU1000193,0.5210093096013118,SKU1000538,0.27148040563111664,color match: black; size match: m; text similarity: 0.661
DESC0103,Need Nordic Loafers Blue size XL,blue,nordic,xl,SKU1000688,0.8571691219902259,SKU1000253,0.46862855357029654,,,color match: blue; brand match: nordic; size match: xl; text similarity: 0.857
DESC0104,"Need tan turtleneck that is fast-drying for Spring 2025, size XS.",tan,,xs,SKU1000237,0.7278831556508281,SKU1000532,0.2626089283675113,SKU1000196,0.25950675369902537,color match: tan; size match: xs; text similarity: 0.728
DESC0105,Looking for Alpine Sneakers Blue S,blue,alpine,s,SKU1000716,0.8606367779599082,SKU1000327,0.3997870144804623,,,color match: blue; brand match: alpine; size match: s; text similarity: 0.861
DESC0106,"Want gown with airy and no-iron performance, navy in M for Winter 2025.",navy,,m,SKU1000550,0.6515113423942436,SKU1000471,0.27471258343587346,SKU1000507,0.2602654043231938,color match: navy; size match: m; text similarity: 0.652
DESC0107,"Do you have the lEite Doafers in oliev, size XXL?",olive,elite,xxl,SKU1000108,0.2157961369697716,SKU1000798,0.20901540605378824,SKU1000695,0.20043217518097325,color match: olive; brand match: elite; size match: xxl; text similarity: 0.216
DESC0108,"I want Essential's ecru gown in S, please.",,essential,s,SKU1000505,0.7823253772771388,SKU1000596,0.37275282060821285,SKU1000575,0.35925243913412014,brand match: essential; size match: s; text similarity: 0.782
DESC0109,"Do you have the Alpne Skiirt in uream, size L?",cream,alpine,l,SKU1000493,0.0,SKU1000387,0.0,,,color match: cream; brand match: alpine; size match: l; text similarity: 0.000
DESC0110,Do you carry Premium Jeans for Spring 2025?,,premium,,SKU1000346,0.8676494386014211,SKU1000411,0.7922324509020431,SKU1000356,0.7691569893349296,brand match: premium; text similarity: 0.868
DESC0111,Urban Shirt in Navy size XL,navy,urban,xl,SKU1000280,0.8285793466374916,SKU1000326,0.47468251376765613,SKU1000131,0.46464512994297125,color match: navy; brand match: urban; size match: xl; text similarity: 0.829
DESC0112,"Do you have the Wodern Turtleneeck in rgay, size XXL?",,modern,xxl,SKU1000232,0.22693657663337977,SKU1000446,0.21958243114928372,SKU1000720,0.21958243114928372,brand match: modern; size match: xxl; text similarity: 0.227
DESC0113,"Need something cotton in a outerwear style, XL size.",,style,xl,SKU1000515,0.5127614060303307,SKU1000143,0.4603887928447371,SKU1000022,0.4250525213737083,brand match: style; size match: xl; text similarity: 0.513
DESC0114,"Need beige blazer that is high-stretch for Summer 2025, size XS.",beige,,xs,SKU1000129,0.7004628257630741,SKU1000214,0.3560733533480587,SKU1000348,0.315964242625444,color match: beige; size match: xs; text similarity: 0.700
DESC0115,"I want Elite's emerald sandals in XS, please.",,elite,xs,SKU1000792,0.7814863500588457,SKU1000528,0.40598824075308104,SKU1000627,0.3984025828006161,brand match: elite; size match: xs; text similarity: 0.781
DESC0116,"Hello, do you happen to have the charcoal shorts from Comfort in size S? Thanks so much!",charcoal,comfort,s,SKU1000353,0.8755548945298264,SKU1000139,0.4207219235106623,,,color match: charcoal; brand match: comfort; size match: s; text similarity: 0.876
DESC0117,"Looking for nnavy Boost by ordic, size S please.",navy,nordic,s,SKU1000760,0.0,SKU1000198,0.0,SKU1000082,0.0,color match: navy; brand match: nordic; size match: s; text similarity: 0.000
DESC0118,"Want boots with sweat-wicking performance, green in XXL for Winter 2024.",green,,xxl,SKU1000765,0.7038056200283707,SKU1000790,0.6019336449541645,SKU1000158,0.33070854600861427,color match: green; size match: xxl; text similarity: 0.704
DESC0119,"Want gown with sweat-wicking and stretchy performance, white in S for Spring 2024.",white,,s,SKU1000589,0.652755973362388,SKU1000477,0.3089726988393805,SKU1000344,0.2811755396435194,color match: white; size match: s; text similarity: 0.653
DESC0120,Looking for Essential Gown Beige M,beige,essential,m,SKU1000604,0.8625125081477276,,,,,color match: beige; brand match: essential; size match: m; text similarity: 0.863
DESC0121,Looking for the cobalt sandals from Premium in XXL.,blue,premium,xxl,SKU1000692,0.7713113926322559,SKU1000545,0.3978456539231963,,,color match: blue; brand match: premium; size match: xxl; text similarity: 0.771
DESC0122,Need Comfort Jacket Cream size XXL,cream,comfort,xxl,SKU1000132,0.8478828430768518,SKU1000047,0.446992008519133,,,color match: cream; brand match: comfort; size match: xxl; text similarity: 0.848
DESC0123,"Looking for heat-retaining brown sandals in M, ideally nylon.",brown,,m,SKU1000737,0.7058346294155129,SKU1000436,0.3064350851373932,SKU1000490,0.3056758487819869,color match: brown; size match: m; text similarity: 0.706
DESC0124,Looking for Essential Shorts Green L,green,essential,l,SKU1000408,0.7951288018540862,SKU1000491,0.4599943751859332,SKU1000367,0.42807487583964143,color match: green; brand match: essential; size match: l; text similarity: 0.795
